id 	 label 	 feature
681	bin681	nuclear_DNA
682	bin682	nuclear_DNA
683	bin683	nuclear_DNA
684	bin684	nuclear_DNA
685	bin685	nuclear_DNA
686	bin686	nuclear_DNA
687	bin687	nuclear_DNA
688	bin688	nuclear_DNA
689	bin689	nuclear_DNA
690	bin690	nuclear_DNA
691	bin691	nuclear_DNA
692	bin692	nuclear_DNA
693	bin693	nuclear_DNA
694	bin694	nuclear_DNA
695	bin695	nuclear_DNA
696	bin696	nuclear_DNA
697	bin697	nuclear_DNA
698	bin698	nuclear_DNA
699	bin699	nuclear_DNA
700	bin700	nuclear_DNA
701	bin701	nuclear_DNA
702	bin702	nuclear_DNA
703	bin703	nuclear_DNA
704	bin704	nuclear_DNA
705	bin705	nuclear_DNA
706	bin706	nuclear_DNA
707	bin707	nuclear_DNA
708	bin708	nuclear_DNA
709	bin709	nuclear_DNA
710	bin710	nuclear_DNA
711	bin711	nuclear_DNA
712	bin712	nuclear_DNA
713	bin713	nuclear_DNA
714	bin714	nuclear_DNA
715	bin715	nuclear_DNA
716	bin716	nuclear_DNA
717	bin717	nuclear_DNA
718	bin718	centromere
719	bin719	centromere
720	bin720	centromere
721	bin721	centromere
722	bin722	centromere
723	bin723	centromere
724	bin724	nuclear_DNA
725	bin725	nuclear_DNA
726	bin726	nuclear_DNA
727	bin727	nuclear_DNA
728	bin728	nuclear_DNA
729	bin729	nuclear_DNA
730	bin730	nuclear_DNA
731	bin731	nuclear_DNA
732	bin732	nuclear_DNA
733	bin733	nuclear_DNA
734	bin734	nuclear_DNA
735	bin735	nuclear_DNA
736	bin736	nuclear_DNA
737	bin737	nuclear_DNA
738	bin738	nuclear_DNA
739	bin739	nuclear_DNA
740	bin740	nuclear_DNA
741	bin741	nuclear_DNA
742	bin742	nuclear_DNA
743	bin743	nuclear_DNA
744	bin744	nuclear_DNA
745	bin745	nuclear_DNA
746	bin746	nuclear_DNA
747	bin747	nuclear_DNA
748	bin748	nuclear_DNA
749	bin749	nuclear_DNA
750	bin750	nuclear_DNA
751	bin751	nuclear_DNA
752	bin752	nuclear_DNA
753	bin753	nuclear_DNA
754	bin754	nuclear_DNA
755	bin755	nuclear_DNA
756	bin756	nuclear_DNA
757	bin757	nuclear_DNA
758	bin758	nuclear_DNA
759	bin759	nuclear_DNA
760	bin760	nuclear_DNA
761	bin761	nuclear_DNA
762	bin762	nuclear_DNA
763	bin763	nuclear_DNA
764	bin764	nuclear_DNA
765	bin765	nuclear_DNA
766	bin766	nuclear_DNA
767	bin767	nuclear_DNA
768	bin768	nuclear_DNA
769	bin769	nuclear_DNA
770	bin770	nuclear_DNA
771	bin771	nuclear_DNA
772	bin772	nuclear_DNA
773	bin773	nuclear_DNA
774	bin774	nuclear_DNA
775	bin775	nuclear_DNA
776	bin776	nuclear_DNA
777	bin777	nuclear_DNA
778	bin778	nuclear_DNA
779	bin779	nuclear_DNA
780	bin780	nuclear_DNA
781	bin781	nuclear_DNA
782	bin782	nuclear_DNA
783	bin783	nuclear_DNA
784	bin784	nuclear_DNA
785	bin785	nuclear_DNA
786	bin786	nuclear_DNA
787	bin787	nuclear_DNA
788	bin788	nuclear_DNA
789	bin789	nuclear_DNA
790	bin790	nuclear_DNA
791	bin791	nuclear_DNA
792	bin792	nuclear_DNA
793	bin793	nuclear_DNA
794	bin794	nuclear_DNA
795	bin795	nuclear_DNA
796	bin796	nuclear_DNA
797	bin797	nuclear_DNA
798	bin798	nuclear_DNA
799	bin799	nuclear_DNA
800	bin800	nuclear_DNA
801	bin801	nuclear_DNA
802	bin802	nuclear_DNA
803	bin803	nuclear_DNA
804	bin804	nuclear_DNA
805	bin805	nuclear_DNA
806	bin806	nuclear_DNA
807	bin807	nuclear_DNA
808	bin808	nuclear_DNA
809	bin809	nuclear_DNA
810	bin810	nuclear_DNA
811	bin811	nuclear_DNA
812	bin812	nuclear_DNA
